dealerTitle,address,opening_hours,website,phone_numbers,postcode,city,radius
St Georges Autocentre Limited,"24 ST GEORGES WAY

Leicester
Leicestershire
LE1 1SH","Friday: 10:00 - 18:00
Saturday: 10:00 - 17:30
Sunday: 11:00 - 17:00
Monday: 10:00 - 18:00
Tuesday: 10:00 - 18:00
Wednesday: 10:00 - 18:00
Thursday: 10:00 - 18:00",https://stgeorgesautocentre.co.uk/,"(0116) 448 8793
(07441) 914691",LE2 0QB,Leicester,10
Mann Motors,"59 Sparkehoe Street

Leicester
Leicestershire
LE2 0TD","Friday: 08:30 - 18:00
Saturday: 08:30 - 16:00
Sunday: 10:30 - 14:00
Monday: 08:30 - 18:00
Tuesday: 08:30 - 18:00
Wednesday: 08:30 - 18:00
Thursday: 08:30 - 18:00",http://www.mannmotorsleicester.co.uk/,"(0116) 484 9272
(0116) 484 9269",LE2 0QB,Leicester,10
QUATTRO SERVICE STATION LTD,"95 MELBOURNE ROAD

Leicester
Leicestershire
LE2 0GW",,,(07537) 122147,LE2 0QB,Leicester,10
City Cars,"1 Cradock Street

Leicester
Leicestershire
LE5 3AW",,,(07822) 001604,LE2 0QB,Leicester,10
TMS Kia Leicester,"230 LONDON ROAD

Leicester
Leicestershire
LE2 1RH","Friday: 08:30 - 18:00
Saturday: 08:30 - 17:00
Sunday: 11:00 - 16:00
Monday: 08:30 - 18:00
Tuesday: 08:30 - 18:00
Wednesday: 08:30 - 18:00
Thursday: 08:30 - 18:00",https://www.tmsmotorgroup.co.uk/kia,(0116) 484 0062,LE2 0QB,Leicester,10
Roadhouse Leisure,"58 Burnmoor Street

Leicester
Leicestershire
LE2 7JJ","Friday: 06:00 - 20:00
Saturday: 06:00 - 20:00
Sunday: 07:00 - 17:00
Monday: 06:00 - 20:00
Tuesday: 06:00 - 20:00
Wednesday: 06:00 - 20:00
Thursday: 06:00 - 20:00",https://roadhouseleisure.co.uk/,"(07915) 654304
(07360) 516810",LE2 0QB,Leicester,10
2 WHEEL WAREHOUSE LTD,"66 Sanvey Gate

Leicester
Leicestershire
LE1 4BQ","Friday: 09:00 - 18:00
Saturday: 09:00 - 18:00
Sunday: Closed
Monday: 09:00 - 18:00
Tuesday: 09:00 - 18:00
Wednesday: 09:00 - 18:00
Thursday: 09:00 - 18:00",https://www.2wheelwarehouse.co.uk/,(07429) 402688,LE2 0QB,Leicester,10
Parkway Autopoint Leicester,"St Margarets Way

Leicester
Leicestershire
LE1 3EA","Friday: 08:30 - 19:00
Saturday: 08:30 - 18:00
Sunday: 11:00 - 17:00
Monday: 08:30 - 19:00
Tuesday: 08:30 - 19:00
Wednesday: 08:30 - 19:00
Thursday: 08:30 - 19:00",http://www.parkwayvolkswagen.co.uk/,(0116) 448 9047,LE2 0QB,Leicester,10
PRIME CARZ LTD,"Prime Carz, Dysart Way

Leicester
Leicestershire
LE1 2JY","Friday: 10:00 - 18:00
Saturday: 10:00 - 18:00
Sunday: 10:00 - 18:00
Monday: 10:00 - 18:00
Tuesday: 10:00 - 18:00
Wednesday: 10:00 - 18:00
Thursday: 10:00 - 18:00",http://www.primecarz.co.uk/,(07537) 124599,LE2 0QB,Leicester,10
777 Automotive Ltd,"Unit 11, 72-74, Friday Street

Leicester
Leicestershire
LE1 3BW",,https://www.777automotive.co.uk/,(07441) 906425,LE2 0QB,Leicester,10
ZM Motors Ltd,"50A DOROTHY ROAD

Leicester
Leicestershire
LE5 5DQ","Friday: 08:00 - 17:00
Saturday: 08:00 - 17:00
Sunday: 08:00 - 17:00
Monday: 08:00 - 17:00
Tuesday: 08:00 - 17:00
Wednesday: 08:00 - 17:00
Thursday: 08:00 - 17:00",https://www.autotrader.co.uk/services/car-dealers/uk/region/county/town/dealer-dpp-10002363,(07537) 123460,LE2 0QB,Leicester,10
MW Cars,"81, Evington Valley Road
Dunlop Business Center
Leicester
Leicestershire
LE5 5LN",,,(07537) 124210,LE2 0QB,Leicester,10
